date,type,outlay,return,profit,points
01-Jan,canadian,2.6,0.59,-2.01,-0.77
02-Jan,yankee,1.1,0,-1.1,-1
03-Jan,trixie,0.4,0,-0.4,-1
04-Jan,yankee,1.1,0.42,-0.68,-0.62
05-Jan,trixie,0.4,0,-0.4,-1
06-Jan,trixie,0.4,0.21,-0.19,-0.48
07-Jan,trixie,0.4,3.28,2.88,7.2
08-Jan,double,0.1,0,-0.1,-1
09-Jan,trixie,0.4,0,-0.4,-1
10-Jan,trixie,0.4,0,-0.4,-1
11-Jan,super-heinz,12,0.19,-11.81,-0.98
13-Jan,yankee,1.1,21.62,20.52,18.65
14-Jan,double,0.1,0,-0.1,-1
15-Jan,trixie,0.4,0.23,-0.17,-0.43
17-Jan,yankee,1.1,0.11,-0.99,-0.9
18-Jan,yankee,1.1,0,-1.1,-1
19-Jan,double,0.1,0,-0.1,-1
20-Jan,trixie,0.4,0,-0.4,-1
21-Jan,yankee,1.1,0,-1.1,-1
22-Jan,trixie,0.4,0,-0.4,-1
23-Jan,trixie,0.4,0,-0.4,-1
24-Jan,trixie,0.4,0,-0.4,-1
25-Jan,trixie,0.4,1.26,0.86,2.15
26-Jan,trixie,0.4,0,-0.4,-1
27-Jan,canadian,2.6,1.6,-1,-0.38
28-Jan,yankee,1.1,0,-1.1,-1
29-Jan,trixie,0.4,0,-0.4,-1
30-Jan,yankee,1.1,1.62,0.52,0.47
31-Jan,trixie,0.4,0.59,0.19,0.47
01-Feb,trixie,0.4,0,-0.4,-1
02-Feb,trixie,0.4,0,-0.4,-1
03-Feb,yankee,1.1,0,-1.1,-1
04-Feb,canadian,2.6,0,-2.6,-1
05-Feb,trixie,0.4,0,-0.4,-1
06-Feb,yankee,1.1,0,-1.1,-1
07-Feb,yankee,1.1,7.53,6.43,5.85
08-Feb,trixie,0.4,0.67,0.27,0.68
09-Feb,trixie,0.4,0.49,0.09,0.22
10-Feb,trixie,0.4,0.33,-0.07,-0.18
11-Feb,double,0.1,0,-0.1,-1
12-Feb,trixie,0.4,0.17,-0.23,-0.58
13-Feb,trixie,0.4,0.74,0.34,0.85
14-Feb,canadian,2.6,0,-2.6,-1
15-Feb,double,0.1,0,-0.1,-1
16-Feb,trixie,0.4,0,-0.4,-1
17-Feb,yankee,1.1,1.35,0.25,0.23
18-Feb,yankee,1.1,0.6,-0.5,-0.45
19-Feb,double,0.1,0,-0.1,-1
20-Feb,trixie,0.4,0,-0.4,-1
21-Feb,yankee,1.1,0,-1.1,-1
22-Feb,trixie,0.4,0,-0.4,-1
23-Feb,trixie,0.4,0,-0.4,-1
24-Feb,yankee,1.1,2.01,0.91,0.83
25-Feb,yankee,1.1,0,-1.1,-1
26-Feb,yankee,1.1,0,-1.1,-1
27-Feb,double,0.1,0,-0.1,-1
28-Feb,double,0.1,0,-0.1,-1
01-Mar,double,0.1,0,-0.1,-1
02-Mar,yankee,1.1,0,-1.1,-1
03-Mar,trixie,0.4,0.15,-0.25,-0.63
04-Mar,trixie,0.4,0,-0.4,-1
05-Mar,double,0.1,0,-0.1,-1
06-Mar,trixie,0.4,0.86,0.46,1.15
07-Mar,trixie,0.4,0,-0.4,-1
08-Mar,yankee,1.1,6.45,5.35,4.86
09-Mar,canadian,2.6,0,-2.6,-1
10-Mar,trixie,0.4,0,-0.4,-1
11-Mar,yankee,1.1,0,-1.1,-1
12-Mar,unknown,0,0,,
13-Mar,canadian,2.6,2.15,-0.45,-0.17
14-Mar,yankee,1.1,0,-1.1,-1
15-Mar,canadian,2.6,0,-2.6,-1
16-Mar,canadian,2.6,7.43,4.83,1.86
17-Mar,yankee,1.1,0.99,-0.11,-0.1
19-Mar,double,0.1,0,-0.1,-1
20-Mar,trixie,0.4,0,-0.4,-1
21-Mar,trixie,0.4,6.29,5.89,14.73
22-Mar,unknown,0,0,,
23-Mar,canadian,2.6,19.54,16.94,6.52
24-Mar,yankee,1.1,0,-1.1,-1
25-Mar,double,0.1,0,-0.1,-1
26-Mar,trixie,0.4,0,-0.4,-1
27-Mar,double,0.1,0,-0.1,-1
28-Mar,trixie,0.4,1.06,0.66,1.65
29-Mar,canadian,2.6,0.65,-1.95,-0.75
30-Mar,trixie,0.4,0,-0.4,-1
31-Mar,yankee,1.1,0,-1.1,-1
01-Apr,heinz,5.7,1.26,-4.44,-0.78
02-Apr,yankee,1.1,0.97,-0.13,-0.12
03-Apr,trixie,0.4,0,-0.4,-1
04-Apr,double,0.1,0,-0.1,-1
05-Apr,yankee,1.1,0.1,-1,-0.91
06-Apr,yankee,1.1,0,-1.1,-1
07-Apr,canadian,2.6,0,-2.6,-1
08-Apr,yankee,1.1,1.3,0.2,0.18
09-Apr,canadian,2.6,0.14,-2.46,-0.95
10-Apr,trixie,0.4,0,-0.4,-1
11-Apr,yankee,1.1,0,-1.1,-1
12-Apr,yankee,1.1,5.73,4.63,4.21
13-Apr,heinz,5.7,0.78,-4.92,-0.86
14-Apr,yankee,1.1,0.46,-0.64,-0.58
15-Apr,trixie,0.4,0,-0.4,-1
16-Apr,trixie,0.4,0.42,0.02,0.05
17-Apr,canadian,2.6,1.79,-0.81,-0.31
18-Apr,yankee,1.1,0,-1.1,-1
19-Apr,canadian,2.6,5.13,2.53,0.97
20-Apr,canadian,2.6,0,-2.6,-1
21-Apr,yankee,1.1,1.96,0.86,0.78
22-Apr,trixie,0.4,0,-0.4,-1
23-Apr,canadian,2.6,0.39,-2.21,-0.85
24-Apr,trixie,0.4,0,-0.4,-1
25-Apr,canadian,2.6,4.63,2.03,0.78
26-Apr,trixie,0.4,0,-0.4,-1
27-Apr,yankee,1.1,0,-1.1,-1
28-Apr,yankee,1.1,0.14,-0.96,-0.87
29-Apr,double,0.1,0,-0.1,-1
30-Apr,yankee,1.1,0,-1.1,-1
01-May,canadian,2.6,1.65,-0.95,-0.37
