date,type,outlay,return,profit,points
1 Jan,canadian,2.6,0.71,-1.89,-0.73
2 Jan,yankee,1.1,0,-1.1,-1.0
3 Jan,yankee,1.1,0,-1.1,-1.0
4 Jan,canadian,2.6,0,-2.6,-1.0
5 Jan,canadian,2.6,0,-2.6,-1.0
6 Jan,yankee,1.1,0,-1.1,-1.0
7 Jan,yankee,1.1,0,-1.1,-1.0
8 Jan,yankee,1.1,0,-1.1,-1.0
9 Jan,canadian,2.6,0,-2.6,-1.0
10 Jan,yankee,1.1,0,-1.1,-1.0
11 Jan,trixie,0.4,0,-0.4,-1.0
12 Jan,trixie,0.4,0,-0.4,-1.0
13 Jan,yankee,1.1,0,-1.1,-1.0
14 Jan,yankee,1.1,0,-1.1,-1.0
15 Jan,yankee,1.1,0.85,-0.25,-0.23
16 Jan,yankee,1.1,0.45,-0.65,-0.59
19 Jan,yankee,1.1,3.46,2.36,2.15
20 Jan,canadian,2.6,0.71,-1.89,-0.73
21 Jan,trixie,0.4,0,-0.4,-1.0
23 Jan,canadian,2.6,0,-2.6,-1.0
24 Jan,yankee,1.1,0,-1.1,-1.0
25 Jan,yankee,1.1,0,-1.1,-1.0
26 Jan,yankee,1.1,0,-1.1,-1.0
27 Jan,heinz,5.7,0.88,-4.82,-0.85
28 Jan,super-heinz,12.0,0.1,-11.9,-0.99
29 Jan,canadian,2.6,0,-2.6,-1.0
30 Jan,yankee,1.1,0,-1.1,-1.0
31 Jan,canadian,2.6,0,-2.6,-1.0
1 Feb,yankee,1.1,0,-1.1,-1.0
2 Feb,yankee,1.1,0,-1.1,-1.0
3 Feb,yankee,1.1,0,-1.1,-1.0
4 Feb,canadian,2.6,1.25,-1.35,-0.52
5 Feb,yankee,1.1,0,-1.1,-1.0
6 Feb,yankee,1.1,0.33,-0.77,-0.7
7 Feb,canadian,2.6,0,-2.6,-1.0
8 Feb,canadian,2.6,0.1,-2.5,-0.96
9 Feb,heinz,5.7,0,-5.7,-1.0
10 Feb,canadian,2.6,0,-2.6,-1.0
11 Feb,canadian,2.6,10.4,7.8,3.0
12 Feb,canadian,2.6,1.06,-1.54,-0.59
13 Feb,yankee,1.1,0,-1.1,-1.0
14 Feb,yankee,1.1,0,-1.1,-1.0
15 Feb,yankee,1.1,0,-1.1,-1.0
16 Feb,canadian,2.6,0.1,-2.5,-0.96
17 Feb,trixie,0.4,0,-0.4,-1.0
