date,type,outlay,return,profit,points
1 Jan,lucky31,3.1,0.94,-2.16,-0.7
2 Jan,lucky15,1.5,0.14,-1.36,-0.91
3 Jan,patent,0.7,0.16,-0.54,-0.77
4 Jan,lucky15,1.5,1.21,-0.29,-0.19
5 Jan,patent,0.7,0.16,-0.54,-0.77
6 Jan,patent,0.7,0.52,-0.18,-0.26
7 Jan,patent,0.7,4.54,3.84,5.49
8 Jan,double,0.1,0,-0.1,-1.0
9 Jan,patent,0.7,0.45,-0.25,-0.36
10 Jan,patent,0.7,0.1,-0.6,-0.86
11 Jan,super-heinz,12.7,0.48,-12.22,-0.96
13 Jan,lucky15,1.5,24.46,22.96,15.31
14 Jan,double,0.1,0,-0.1,-1.0
15 Jan,patent,0.7,0.56,-0.14,-0.2
17 Jan,lucky15,1.5,0.32,-1.18,-0.79
18 Jan,lucky15,1.5,0.1,-1.4,-0.93
19 Jan,double,0.1,0,-0.1,-1.0
20 Jan,patent,0.7,0.38,-0.32,-0.46
21 Jan,lucky15,1.5,0.82,-0.68,-0.45
22 Jan,patent,0.7,0.1,-0.6,-0.86
23 Jan,patent,0.7,0.82,0.12,0.17
24 Jan,patent,0.7,0.23,-0.47,-0.67
25 Jan,patent,0.7,1.77,1.07,1.53
26 Jan,patent,0.7,0,-0.7,-1.0
27 Jan,lucky31,3.1,3.04,-0.06,-0.02
28 Jan,lucky15,1.5,0.19,-1.31,-0.87
29 Jan,patent,0.7,0.19,-0.51,-0.73
30 Jan,lucky15,1.5,2.08,0.58,0.39
31 Jan,"",0,0
