Date,Time,Horse,EP,Odds,Terms,Result,R4,Multi,BOG
1 Jan,13:45,Ballygeary,4,10,5,P,1.00,M,0.80
1 Jan,14:20,Cedar Hill,4,23,,L,1.00,M,-2.00
1 Jan,14:40,My Bobby Dazzler,4,17,5,P,1.00,M,2.20
1 Jan,14:45,Balko Saint,4,17,,L,1.00,M,-2.00
1 Jan,15:20,School For Scandal,4,15,,L,1.00,M,-2.00
2 Jan,13:15,Rorys Story,5,26,,L,1.00,M,-2.00
2 Jan,18:00,Athena Ballerina,,23,,L,1.00,M,-2.00
2 Jan,20:00,Thismydream,4,15,,L,1.00,M,-2.00
2 Jan,20:30,Starfighter,,10,5,P,1.00,M,0.80
3 Jan,16:55,Rivas Rob Roy,,34,,L,1.00,M,-2.00
3 Jan,18:30,Bell Shot,,12,5,P,1.00,M,1.20
3 Jan,19:30,Dembe,5,13,,L,1.00,M,-2.00
4 Jan,12:58,Maxs Champ,4,17,,L,1.00,M,-2.00
4 Jan,14:58,Honey Im Good,,17,,L,1.00,M,-2.00
4 Jan,15:28,Steal My Sunshine,4,11,5,EP,1.00,M,1.00
4 Jan,15:58,Amalfi Skyline,4,10,5,W,1.00,M,10.80
5 Jan,12:10,Le Grand Vert,,12,5,EP,1.00,M,1.20
5 Jan,13:55,City Derby,,13,,L,1.00,M,-2.00
5 Jan,14:30,Percy Willis,4,13,,L,1.00,M,-2.00
6 Jan,13:40,Cantalupo Bella,,26,,L,1.00,M,-2.00
6 Jan,14:05,Western Soldier,4,21,,NR,1.00,M,0.00
6 Jan,15:25,Not Staying Long,4,17,5,EP,1.00,M,2.20
7 Jan,13:30,Walnut Beach,4,29,,NR,1.00,M,0.00
7 Jan,15:10,Ballycallan King,6,17,,NR,1.00,M,0.00
7 Jan,15:25,Godot,4,17,5,W,1.00,M,19.20
8 Jan,15:00,Bread And Butter,4,17,,L,1.00,M,-2.00
8 Jan,16:05,Boudica Warrior,4,23,,L,1.00,M,-2.00
9 Jan,17:00,Kats Bob,4,9,5,W,0.75,M,7.20
9 Jan,18:00,Fox Flame,4,9,,L,1.00,M,-2.00
9 Jan,20:30,Another Angel,,8,,L,1.00,M,-2.00
10 Jan,12:20,Smart Connection,5,67,,L,1.00,M,-2.00
