Date,Time,Horse,Odds,Terms,Result,R4,Multi
1 Jan,12:10,Rock My Way,67,5,P,1.00,M
1 Jan,12:45,Switch Hitter,23,,NR,1.00,M
1 Jan,13:55,Deyrann De Carjac,26,,L,1.00,M
1 Jan,14:30,Brewin'Upastorm,11,,L,1.00,M
1 Jan,15:40,Cloud Dancer,34,,L,1.00,M
2 Jan,13:00,Swapped,15,,L,1.00,M
2 Jan,14:00,Amlovi,29,,L,1.00,M
2 Jan,14:30,Clondaw Robin,17,5,P,1.00,M
2 Jan,15:30,Tara Iti,9,,L,1.00,M
3 Jan,13:45,Taxmeifyoucan,21,,L,1.00,M
3 Jan,14:15,More To Follow,29,,L,1.00,M
3 Jan,14:45,Fix At All,7,,L,1.00,M
3 Jan,15:15,Better Be Definite,23,,L,1.00,M
4 Jan,13:00,Kimberley Eve,34,,L,1.00,M
4 Jan,14:00,Cadeau Du Bresil,29,,L,1.00,M
4 Jan,14:00,Mr Katanga,11,,L,1.00,M
4 Jan,15:00,The Eminent Goose,21,,L,1.00,M
4 Jan,16:00,Demothi,34,,L,1.00,M
5 Jan,13:30,Timeforadance,41,,L,1.00,M
5 Jan,14:00,Pilgrims King,13,,L,1.00,M
5 Jan,15:00,Dark Heather,26,,L,1.00,M
5 Jan,15:30,Holdbacktheriver,10,,L,1.00,M
5 Jan,16:00,Lelant,26,,L,1.00,M
6 Jan,13:00,Just Over Land,11,,L,1.00,M
6 Jan,13:30,Don'T Tell David,51,,L,1.00,M
6 Jan,14:30,Gaius,9,,L,1.00,M
6 Jan,16:00,Mavis Pike,34,,L,1.00,M
7 Jan,12:20,I Shut That D'Or,101,5,W,1.00,M
7 Jan,12:55,Finest Hour,15,,L,1.00,M
7 Jan,14:40,Argus,41,,L,1.00,M
7 Jan,15:50,Call Me Freddie,21,,L,1.00,M
8 Jan,12:40,Zero Tolerance,26,,L,1.00,M
8 Jan,13:10,Minelladestination,11,,L,1.00,M
8 Jan,14:40,Well Vicky,67,,L,1.00,M
8 Jan,15:40,Walkinthewoods,10,5,P,1.00,M
9 Jan,12:55,Tango Arumba,11,,L,1.00,M
9 Jan,13:55,Blazing Court,67,,L,1.00,M
9 Jan,14:30,Via Dante,51,,L,1.00,M
9 Jan,15:00,Yes No Maybe So,34,,L,1.00,M
9 Jan,15:35,Lady Ironside,29,,L,1.00,M
10 Jan,12:15,The Skiffle King,101,,L,1.00,M
10 Jan,12:45,Can'T Beat History,81,,L,1.00,M
10 Jan,15:00,Kadex,51,,L,1.00,M
10 Jan,15:30,Beep Beep Burrow,15,,NR,1.00,M
11 Jan,14:15,Protected Guest,19,,L,1.00,M
11 Jan,14:45,Wiley Post,34,,L,1.00,M
11 Jan,15:45,Wholelotafun,13,,L,1.00,M
12 Jan,13:05,Maura Jeanne,17,,L,1.00,M
12 Jan,13:40,King Of Fashion,41,,L,1.00,M
12 Jan,15:25,Loughermore,13,,L,1.00,M
13 Jan,13:00,Coconut Tudor,51,,L,1.00,M
13 Jan,14:30,City Roller,34,,L,1.00,M
13 Jan,15:30,Leskinfere,34,5,P,1.00,M
13 Jan,16:00,Watching Over You,26,,L,1.00,M
14 Jan,14:25,Snake Roll,7,,L,1.00,M
14 Jan,14:40,Scarface,10,,L,1.00,M
14 Jan,15:00,Wouldubewell,19,,L,1.00,M
14 Jan,15:35,Level Neverending,10,5,EP,1.00,M
15 Jan,13:00,Lastin' Memories,21,5,EP,1.00,M
15 Jan,13:30,Fortified Bay,13,5,W,1.00,M
15 Jan,14:00,Pipers Cross,34,,L,1.00,M
15 Jan,15:10,Blast Of Koeman,17,,L,1.00,M
16 Jan,13:10,School For Scandal,9,,L,1.00,M
16 Jan,15:10,Bitasweetsymphony,10,5,P,1.00,M
